audit_id,rule_id,category,check,priority,scope,impl_status,execution_status,result_status,eligible_count,evaluated_count,coverage_pct,finding_count,data_source,required_source,not_checked_reason,owner,remediation,acceptance_criteria
1,robots_txt_exists,抓取与索引,robots.txt 存在与规则,Critical,SITE,EXISTING_FULL,EXECUTED_FULL,FAIL,1,1,100.0,1,LibreCrawl,LibreCrawl,,SEO/Dev,修正规则；仅限制确实无需抓取的后台/系统路径；添加 Sitemap: 完整地址。,/robots.txt 返回 200；重要页面未被 Disallow；包含有效 Sitemap 声明。
2,xml_sitemap_valid,抓取与索引,XML Sitemap 提交与有效性,Critical,SITE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,1,0,0.0,0,LibreCrawl,"LibreCrawl, GSC",Data source unavailable: GSC,SEO,生成/修正 sitemap；移除 3xx、4xx、5xx、noindex、非 canonical、测试 URL，并重新提交。,Sitemap 中重要 URL 均为 200 + Indexable + Canonical；GSC/Bing 已成功读取。
3,page_noindex_nofollow,抓取与索引,页面 noindex/nofollow 检查,Critical,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,移除误设置；修正服务器或 CDN 层 X-Robots-Tag；保留有策略意义的 noindex。,所有核心商业/内容页面均允许索引；预期 noindex 页面已记录为 Intentional。
4,crawl_errors_4xx_5xx,抓取与索引,抓取错误 (4xx/5xx),High,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,修复错误内链；有高度相关替代页时 301；无替代内容返回真实 404/410；修复 5xx 根因。,核心页面返回 200；站内错误链接接近 0；无持续性 5xx。
5,crawl_budget_waste,抓取与索引,抓取预算浪费,High,PAGE,EXISTING_PARTIAL,NOT_CHECKED,UNKNOWN,0,0,0.0,0,LibreCrawl,"LibreCrawl, GSC, Server Logs",Data source unavailable: GSC,SEO/Dev,通过信息架构、内部链接、canonical、noindex、robots.txt（仅控制抓取）等组合治理；减少无限 URL 生成。,高频无效 URL 数量与抓取占比明显下降，重要 URL 抓取稳定。
6,unified_domain_protocol,URL 与重定向,统一域名与协议,Critical,SITE,EXISTING_FULL,EXECUTED_FULL,FAIL,1,1,100.0,1,LibreCrawl,LibreCrawl,,Dev/Infra,配置服务器/CDN 级 301，统一 https 与首选域名。,所有非规范域名/协议变体单跳 301 到最终 https 规范 URL。
7,redirect_chain_audit,URL 与重定向,301/302 使用与重定向链,High,PAGE,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev,永久迁移使用 301/308；临时才用 302/307；把站内链接直接改到最终目标。,重要旧 URL 到最终页 ≤1 次跳转，无循环或链式重定向。
8,canonical_correctness,URL 与重定向,canonical 标签正确性,High,RELATIONSHIP,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Dev,修正错误、跨语言误 canonical、指向 3xx/4xx/noindex 的 canonical；必要时删除冲突输出。,核心页面 canonical 指向预期规范 URL；无多重/冲突 canonical。
9,click_depth,站点架构,点击深度,High,RELATIONSHIP,EXISTING_FULL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,SEO/Product,调整主导航/分类/聚合页；增加相关上下文内链。,核心商业页面通常 ≤3 次点击可达，或有强相关高权重入口。
10,breadcrumb_schema,站点架构,面包屑与 Breadcrumb Schema,Medium,PAGE,EXISTING_PARTIAL,EXECUTED_FULL,PASS,0,0,0.0,0,LibreCrawl,LibreCrawl,,Dev/SEO,在主题/插件中统一输出面包屑；避免多个组件重复输出。,面包屑可见、层级合理；BreadcrumbList 无严重错误且与可见路径一致。
