audit_id,rule_id,title,category,priority,impl_status,adapter_exists,adapter_function,implementation_module,execution_type,data_sources,external_dependency,current_capability,remaining_gap,manual_review_required,planned_workstream,owner,notes
1,robots_txt_exists,robots.txt 存在与规则,抓取与索引,Critical,EXISTING_FULL,TRUE,_adapter_robots_txt,server.py:_site_check + _build_report,STATIC_ANALYSIS,LibreCrawl,None,已完整实现。检查 /robots.txt 存在性、可访问性、Disallow 规则数量，并在报告中输出 Sitemap 声明。,已完整实现。检查 /robots.txt 存在性、可访问性、Disallow 规则数量，并在报告中输出 Sitemap 声明。,FALSE,COMPLETE,,
2,xml_sitemap_valid,XML Sitemap 提交与有效性,抓取与索引,Critical,EXISTING_PARTIAL,FALSE,,server.py:_site_check + sitemap_recon,SITE_CHECK + EXTERNAL_API,LibreCrawl + GSC,None,已检查 sitemap 存在性与 URL 数量。缺少：GSC/Bing 提交状态验证、sitemap 中 URL 可索引一致性（部分在 extended_checks 的 sitemap cross-checks 中覆盖，但未检查 4xx/5xx URL）。,GSC 提交状态需要 Search Console API 或手动确认,FALSE,REMAINING_PARTIAL_REVIEW,,
3,page_noindex_nofollow,页面 noindex/nofollow 检查,抓取与索引,Critical,EXISTING_FULL,TRUE,_adapter_noindex_nofollow,server.py:_build_report + extended_checks,STATIC_ANALYSIS,LibreCrawl,None,已检查 meta robots 和 X-Robots-Tag 误设置。核心页面抽查机制完善。,已检查 meta robots 和 X-Robots-Tag 误设置。核心页面抽查机制完善。,FALSE,COMPLETE,,
4,crawl_errors_4xx_5xx,抓取错误 (4xx/5xx),抓取与索引,High,EXISTING_FULL,TRUE,_adapter_crawl_errors,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已收集 4xx/5xx 页面并生成 Broken Pages 表（含 Linked From 列）。与 GSC/Server Logs 对比需要外部数据。,已收集 4xx/5xx 页面并生成 Broken Pages 表（含 Linked From 列）。与 GSC/Server Logs 对比需要外部数据。,FALSE,COMPLETE,,
5,crawl_budget_waste,抓取预算浪费,抓取与索引,High,EXISTING_PARTIAL,FALSE,,extended_checks.py,STATIC_ANALYSIS + EXTERNAL_API,LibreCrawl + GSC + Server Logs,None,已检测 3 类爬虫陷阱。缺少：参数 URL 模式分析、GSC Crawl Stats 高频路径分析、服务器日志抓取占比（均需外部数据）。,日志分析需要服务器访问权限,FALSE,REMAINING_PARTIAL_REVIEW,,
6,unified_domain_protocol,统一域名与协议,URL 与重定向,Critical,EXISTING_FULL,TRUE,_adapter_domain_protocol,server.py:_site_check,SITE_CHECK,LibreCrawl,None,已实现。检查 HTTP→HTTPS 和 www↔non-www 变体的 301 行为。,已实现。检查 HTTP→HTTPS 和 www↔non-www 变体的 301 行为。,FALSE,COMPLETE,,
7,redirect_chain_audit,301/302 使用与重定向链,URL 与重定向,High,EXISTING_FULL,TRUE,_adapter_redirect_chains,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已输出完整的 Source→Destination→Hops 重定向链分析。含循环检测。,已输出完整的 Source→Destination→Hops 重定向链分析。含循环检测。,FALSE,COMPLETE,,
8,canonical_correctness,canonical 标签正确性,URL 与重定向,High,EXISTING_FULL,TRUE,_adapter_canonical,server.py + extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检查：canonical 缺失、非 self-canonical、指向 3xx/relative URL、链深度>1、在 body 而非 head 中声明。完整覆盖。,已检查：canonical 缺失、非 self-canonical、指向 3xx/relative URL、链深度>1、在 body 而非 head 中声明。完整覆盖。,FALSE,COMPLETE,,
9,click_depth,点击深度,站点架构,High,EXISTING_FULL,TRUE,_adapter_click_depth,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已标记深度>4 的页面。在报告中展示深度分布。,已标记深度>4 的页面。在报告中展示深度分布。,FALSE,COMPLETE,,
10,breadcrumb_schema,面包屑与 Breadcrumb Schema,站点架构,Medium,EXISTING_PARTIAL,TRUE,check_breadcrumb,schema_validator.py,HTTP_FETCH,LibreCrawl,None,已检查 BreadcrumbList schema 的 required fields。缺少：视觉面包屑存在性检查（需要页面 HTML 中的面包屑标记检测），前台与 schema 一致性对比。,视觉面包屑检测需要解析页面 HTML 中的导航标记,FALSE,PHASE_2_COMPLETE,,
11,internal_link_distribution,内部链接分布,站点架构,High,EXISTING_FULL,TRUE,_adapter_internal_links,server.py + extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已实现孤岛检测、内链数量统计、锚文本分析、nofollow 模式。含 sitemap_fill 页面贡献的内链图。,已实现孤岛检测、内链数量统计、锚文本分析、nofollow 模式。含 sitemap_fill 页面贡献的内链图。,FALSE,COMPLETE,,
12,pagination_faceted_nav,分页与筛选 (Faceted Navigation),站点架构,High,EXISTING_PARTIAL,TRUE,check_pagination,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检测导致无限 URL 的参数爆炸。缺少：分页 URL 可爬取性验证、分页使用真实 a href 链接检查、分页 URL 唯一性、非仅靠 #fragment 导航、分页页返回 200、self-canonical 策略、误 noindex 检查、深层页面可发现性检查。注意：rel=next/prev 仅作为 INFO/OPTIONAL_COMPATIBILITY，不作为 PASS/FAIL 验收条,rel=next/prev 不是 Google SEO PASS/FAIL 验收条件；仅作兼容性提示,FALSE,PHASE_2_COMPLETE,,
13,title_uniqueness,Title 唯一性与搜索意图,内容与元数据,High,EXISTING_PARTIAL,FALSE,,server.py:_build_report,STATIC_ANALYSIS + EXTERNAL_API,LibreCrawl + GSC + Semrush,None,已检查 Title 的缺失/重复/过长/过短（像素宽度截断）。缺少：搜索意图匹配分析（需人工或 Semrush/GSC CTR 数据）、与 SERP 点击率关联。,意图匹配需要人工判断或 NLP 模型,FALSE,REMAINING_PARTIAL_REVIEW,,
14,meta_description,Meta Description,内容与元数据,Medium,EXISTING_FULL,TRUE,_adapter_meta_description,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已完整实现缺失/重复/过长/过短检测。在 Summary Scorecard 和 Warnings 部分输出。,已完整实现缺失/重复/过长/过短检测。在 Summary Scorecard 和 Warnings 部分输出。,FALSE,COMPLETE,,
15,h1_heading_hierarchy,H1 与标题层级,内容与元数据,Medium,EXISTING_FULL,TRUE,_adapter_h1_headings,server.py:_build_report,STATIC_ANALYSIS,LibreCrawl,None,已检查 H1 缺失/多个/H1-Title 不匹配/标题层级混乱。在 Headings 部分输出完整层级树。,已检查 H1 缺失/多个/H1-Title 不匹配/标题层级混乱。在 Headings 部分输出完整层级树。,FALSE,COMPLETE,,
16,thin_content,薄内容 (Thin/Low-value Content),内容与元数据,High,EXISTING_PARTIAL,TRUE,check_thin_content,server.py:_build_report,STATIC_ANALYSIS + EXTERNAL_API,LibreCrawl + GSC,None,已基于字数阈值（<300 词）标记薄内容。缺少：近乎重复内容检测、GSC 展示/点击评估内容价值、B2B 制造业特定的采购信息完整性评估。,B2B 内容价值评估需要人工审查具体页面内容,FALSE,PHASE_2_COMPLETE,,
17,duplicate_content,重复/近似重复内容,内容与元数据,High,EXISTING_PARTIAL,TRUE,check_near_duplicate,content_audit.py,STATIC_ANALYSIS,LibreCrawl,None,已通过 5-词 shingle 跨页比较计算样板比例。缺少：全文 Exact/Near Duplicate 检测、关键词蚕食与重复内容的关联分析、外部抄袭检测。,全文字段级重复检测需要更多计算资源,FALSE,PHASE_2_COMPLETE,,
18,tag_archive_search_indexability,标签/归档/搜索页处理,内容与元数据,Medium,EXISTING_PARTIAL,TRUE,check_archive_search_indexability,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现URL模式检测（/tag/、/category/、/author/、/search/等）、meta robots检查、策略配置（auto/noindex/index）。剩余gap：分类页面类型判断依赖URL路径启发式，非CMS特定（/category/可能被路由器使用），用户策略仍需手动配置INDEXATION_POLICY_*。无外部HTTP请求，仅使用crawl数据。,已实现URL模式检测（/tag/、/category/、/author/、/search/等）、meta robots检查、策略配置（auto/noindex/index）。剩余gap：分类页面类型判断依赖URL路径启发式，非CMS特定（/category/可能被路由器使用），用户策略仍需手动配置INDEXATION_POLICY_*。无外部HTTP请求，仅使用crawl数据。,FALSE,PHASE_4A_COMPLETE,,
19,core_web_vitals,Core Web Vitals (LCP/CLS/INP),技术性能,Critical,EXISTING_PARTIAL,TRUE,check_core_web_vitals,server.py:librecrawl_pagespeed_*,EXTERNAL_API,PageSpeed API,None,PSI 工具已可用（3 个工具：单 URL/批量/全站）。但未接入 chunked audit 的 finalize 流水线，报告不包含 CWV 章节，不自动触发全站 PSI。,需要用户提供 API key；低流量 URL 可能只有 origin 级 Field Data,FALSE,PHASE_3_COMPLETE,,
20,server_response_ttfb,服务器响应时间 (TTFB),技术性能,High,EXISTING_PARTIAL,TRUE,check_ttfb,server.py + libreclient.py,STATIC_ANALYSIS + EXTERNAL_API,LibreCrawl + Server Logs,None,已收集每页 response_time_ms（含 p95 延迟 AIMD 调优）。缺少：TTFB 专项测量（response_time_ms 是总响应时间）、按地理区域测试、服务器慢日志关联分析。,多地区 TTFB 测试需要外部监测工具,FALSE,PHASE_3_COMPLETE,,
21,render_blocking_css_js,渲染阻塞 CSS/JS,技术性能,High,NEW_EXTERNAL_DATA,TRUE,check_render_blocking,,EXTERNAL_API,PageSpeed API,External/Manual,PageSpeed Insights 提供 Render-Blocking Resources 审计。需将 PSI 的 renderBlockingResources 数据接入报告并按模板聚合。,PageSpeed Insights 提供 Render-Blocking Resources 审计。需将 PSI 的 renderBlockingResources 数据接入报告并按模板聚合。,FALSE,EXTERNAL_DATA_PENDING,,
