id,category,check,priority,impl_status,current_check_name,current_module,gap_description,new_module,target_severity,data_source,external_dependency,detection_method,effort_level,cannot_auto_reason
1,抓取与索引,robots.txt 存在与规则,Critical,EXISTING_FULL,robots_txt_found,server.py:_site_check + _build_report,已完整实现。检查 /robots.txt 存在性、可访问性、Disallow 规则数量，并在报告中输出 Sitemap 声明。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
2,抓取与索引,XML Sitemap 提交与有效性,Critical,EXISTING_PARTIAL,check_xml_sitemap_valid,audit_rules/checks/foundation_gaps.py,已检查 sitemap 存在性、URL 数量及已抓取 sitemap URL 的 200/indexable/self-canonical 一致性。缺少：GSC/Bing 提交与读取状态。,checks/crawl_index.py,Error,LibreCrawl + GSC,GSC API,SITE_CHECK + EXTERNAL_API,LOW,GSC/Bing 提交状态需要站长平台 API 或人工确认
3,抓取与索引,页面 noindex/nofollow 检查,Critical,EXISTING_FULL,missing_meta_robots + robots_noindex,server.py:_build_report + extended_checks,已检查 meta robots 和 X-Robots-Tag 误设置。核心页面抽查机制完善。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
4,抓取与索引,抓取错误 (4xx/5xx),High,EXISTING_FULL,status_code buckets,server.py:_build_report,已收集 4xx/5xx 页面并生成 Broken Pages 表（含 Linked From 列）。与 GSC/Server Logs 对比需要外部数据。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
5,抓取与索引,抓取预算浪费,High,EXISTING_PARTIAL,check_crawl_budget_waste,audit_rules/checks/foundation_gaps.py,已检测会话参数、未来日历、站内搜索、faceted/high-parameter URL 模式。缺少：GSC Crawl Stats 高频路径与服务器日志真实抓取占比。,checks/crawl_index.py,Warning,LibreCrawl + GSC + Server Logs,GSC API + Server Logs,STATIC_ANALYSIS + EXTERNAL_API,MEDIUM,真实抓取频率与占比需要 GSC 和服务器日志
6,URL 与重定向,统一域名与协议,Critical,EXISTING_FULL,https_redirect + www_redirect,server.py:_site_check,已实现。检查 HTTP→HTTPS 和 www↔non-www 变体的 301 行为。,,Error,LibreCrawl,None,SITE_CHECK,None,
7,URL 与重定向,301/302 使用与重定向链,High,EXISTING_FULL,redirect_chains + redirects section,server.py:_build_report,已输出完整的 Source→Destination→Hops 重定向链分析。含循环检测。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
8,URL 与重定向,canonical 标签正确性,High,EXISTING_FULL,canonical 系列 (6 checks),server.py + extended_checks.py,已检查：canonical 缺失、非 self-canonical、指向 3xx/relative URL、链深度>1、在 body 而非 head 中声明。完整覆盖。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
9,站点架构,点击深度,High,EXISTING_FULL,deep_pages >4,server.py:_build_report,已标记深度>4 的页面。在报告中展示深度分布。,,Opportunity,LibreCrawl,None,STATIC_ANALYSIS,None,
10,站点架构,面包屑与 Breadcrumb Schema,Medium,EXISTING_PARTIAL,breadcrumb_schema validation,schema_validator.py,已检查 BreadcrumbList schema 的 required fields。缺少：视觉面包屑存在性检查（需要页面 HTML 中的面包屑标记检测），前台与 schema 一致性对比。,checks/site_architecture.py,Opportunity,LibreCrawl,None,HTTP_FETCH,MEDIUM,视觉面包屑检测需要解析页面 HTML 中的导航标记
11,站点架构,内部链接分布,High,EXISTING_FULL,orphan_pages + internal_nofollow 系列 + linked_from,server.py + extended_checks.py,已实现孤岛检测、内链数量统计、锚文本分析、nofollow 模式。含 sitemap_fill 页面贡献的内链图。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
12,站点架构,分页与筛选 (Faceted Navigation),High,EXISTING_PARTIAL,faceted_url_explosion,extended_checks.py,"已检测导致无限 URL 的参数爆炸。缺少：分页 URL 可爬取性验证、分页使用真实 a href 链接检查、分页 URL 唯一性、非仅靠 #fragment 导航、分页页返回 200、self-canonical 策略、误 noindex 检查、深层页面可发现性检查。注意：rel=next/prev 仅作为 INFO/OPTIONAL_COMPATIBILITY，不作为 PASS/FAIL 验收条件。",checks/site_architecture.py,Error,LibreCrawl,None,STATIC_ANALYSIS,MEDIUM,rel=next/prev 不是 Google SEO PASS/FAIL 验收条件；仅作兼容性提示
13,内容与元数据,Title 唯一性与搜索意图,High,EXISTING_PARTIAL,check_title_uniqueness,audit_rules/checks/foundation_gaps.py,已检查 Title 缺失、重复及保守像素宽度截断估算。缺少：搜索意图匹配、GSC CTR 与 Semrush 关键词关联。,checks/content_metadata.py,Opportunity,LibreCrawl + GSC + Semrush,GSC API + Semrush API,STATIC_ANALYSIS + EXTERNAL_API,HIGH,意图与点击率判断需要外部数据或人工复核
14,内容与元数据,Meta Description,Medium,EXISTING_FULL,missing_meta + dup_meta + long_meta + short_meta,server.py:_build_report,已完整实现缺失/重复/过长/过短检测。在 Summary Scorecard 和 Warnings 部分输出。,,Opportunity,LibreCrawl,None,STATIC_ANALYSIS,None,
15,内容与元数据,H1 与标题层级,Medium,EXISTING_FULL,missing_h1 + multiple_h1 + h1_title_mismatch + heading_structure,server.py:_build_report,已检查 H1 缺失/多个/H1-Title 不匹配/标题层级混乱。在 Headings 部分输出完整层级树。,,Error,LibreCrawl,None,STATIC_ANALYSIS,None,
16,内容与元数据,薄内容 (Thin/Low-value Content),High,EXISTING_PARTIAL,thin_content (<300 words) + word_count,server.py:_build_report,已基于字数阈值（<300 词）标记薄内容。缺少：近乎重复内容检测、GSC 展示/点击评估内容价值、B2B 制造业特定的采购信息完整性评估。,checks/content_metadata.py,Error,LibreCrawl + GSC,GSC API,STATIC_ANALYSIS + EXTERNAL_API,MEDIUM,B2B 内容价值评估需要人工审查具体页面内容
