独立站 / WordPress 技术 SEO Master Audit Checklist（80项）,,,,,,,,,,,,,
适用于 WordPress 为主的独立站，也可用于普通企业站、多语言站、B2B 制造业站。已合并原40项+新增40项，并修正过时/易误用规则。,,,,,,,,,,,,,
,,,,,,,,,,,,,
id,category,check,description,priority,detection_method,tools,remediation,owner,status,acceptance_criteria,finding_type,seo_impact,notes
1,抓取与索引,robots.txt 存在与规则,确认 /robots.txt 存在、可访问，未阻挡重要页面，并声明 XML Sitemap。,Critical,访问 /robots.txt；用抓取工具和 GSC URL Inspection 验证重要 URL 是否可抓取。,"浏览器, Google Search Console, Screaming Frog",修正规则；仅限制确实无需抓取的后台/系统路径；添加 Sitemap: 完整地址。,SEO/Dev,Open,/robots.txt 返回 200；重要页面未被 Disallow；包含有效 Sitemap 声明。,Error,Crawling/Indexing,不要用 robots.txt 代替 noindex；需要读取 noindex 的页面必须允许抓取。
2,抓取与索引,XML Sitemap 提交与有效性,站点地图应仅包含重要、规范、可索引 URL，并已提交到 GSC/Bing。,Critical,检查 sitemap.xml / sitemap_index.xml；与抓取结果、GSC 索引状态交叉验证。,"Google Search Console, Bing Webmaster, Screaming Frog",生成/修正 sitemap；移除 3xx、4xx、5xx、noindex、非 canonical、测试 URL，并重新提交。,SEO,Open,Sitemap 中重要 URL 均为 200 + Indexable + Canonical；GSC/Bing 已成功读取。,Error,Indexing,大型站点可拆分 sitemap；WordPress 建议由单一 SEO 插件或核心功能输出。
3,抓取与索引,页面 noindex/nofollow 检查,检测重要页面是否误设置 noindex/nofollow，或被 X-Robots-Tag 阻止。,Critical,抓取 meta robots 与 HTTP response headers；抽查核心页面源码。,"Screaming Frog, curl, 浏览器 DevTools",移除误设置；修正服务器或 CDN 层 X-Robots-Tag；保留有策略意义的 noindex。,SEO/Dev,Open,所有核心商业/内容页面均允许索引；预期 noindex 页面已记录为 Intentional。,Error,Indexing,不要把策略性 noindex 一律当错误。
4,抓取与索引,抓取错误 (4xx/5xx),识别站内可发现的 4xx/5xx，并区分真实删除、误链、服务器故障。,High,Screaming Frog Response Codes + Inlinks；与 GSC、服务器日志对比。,"Screaming Frog, Server Logs, GSC",修复错误内链；有高度相关替代页时 301；无替代内容返回真实 404/410；修复 5xx 根因。,Dev/SEO,Open,核心页面返回 200；站内错误链接接近 0；无持续性 5xx。,Error,Crawling/Indexing,不要把所有 404 统一 301 到首页。
5,抓取与索引,抓取预算浪费,检测参数、筛选、站内搜索、日历、会话 URL 等无价值抓取空间。,High,分析爬虫 URL 模式、GSC Crawl Stats、服务器日志高频路径。,"Server Logs, Screaming Frog, GSC",通过信息架构、内部链接、canonical、noindex、robots.txt（仅控制抓取）等组合治理；减少无限 URL 生成。,SEO/Dev,Open,高频无效 URL 数量与抓取占比明显下降，重要 URL 抓取稳定。,Warning,Crawling,Google 已下线 URL Parameters 工具，不再依赖 GSC 参数设置。
6,URL 与重定向,统一域名与协议,确保 HTTP/HTTPS、www/non-www 等版本统一到唯一规范主机名。,Critical,访问各变体并检查状态码、Location 和最终 URL。,"curl -I, 浏览器, Screaming Frog",配置服务器/CDN 级 301，统一 https 与首选域名。,Dev/Infra,Open,所有非规范域名/协议变体单跳 301 到最终 https 规范 URL。,Error,Indexing/Crawling,同步统一 canonical、sitemap、hreflang 与内部链接。
7,URL 与重定向,301/302 使用与重定向链,识别不当临时重定向、链式跳转、循环与多跳。,High,抓取 Redirect Chains / Response Codes。,"Screaming Frog, Chrome DevTools",永久迁移使用 301/308；临时才用 302/307；把站内链接直接改到最终目标。,Dev,Open,重要旧 URL 到最终页 ≤1 次跳转，无循环或链式重定向。,Error,Crawling/Ranking,历史迁移 URL 可长期保留 301。
8,URL 与重定向,canonical 标签正确性,检查 canonical 是否唯一、可抓取、返回 200，并与页面意图一致。,High,抓取 Canonicals；抽查源码；与 GSC Google-selected canonical 对比。,"Screaming Frog, GSC, 手工检查",修正错误、跨语言误 canonical、指向 3xx/4xx/noindex 的 canonical；必要时删除冲突输出。,SEO/Dev,Open,核心页面 canonical 指向预期规范 URL；无多重/冲突 canonical。,Error,Indexing/Ranking,独立多语言页面通常应 self-canonical。
9,站点架构,点击深度,检查重要页面是否距首页过深，导致发现、权重传递和用户路径变差。,High,抓取 Crawl Depth、Site Structure；人工检查导航路径。,"Screaming Frog, Sitebulb",调整主导航/分类/聚合页；增加相关上下文内链。,SEO/Product,Open,核心商业页面通常 ≤3 次点击可达，或有强相关高权重入口。,Opportunity,Crawling/Ranking,不要机械追求所有页面 ≤3 层；按业务重要度分级。
10,站点架构,面包屑与 Breadcrumb Schema,关键层级页是否有可用面包屑，并输出一致的 BreadcrumbList。,Medium,人工检查前台与 JSON-LD；结构化数据测试。,"浏览器 DevTools, Rich Results Test",在主题/插件中统一输出面包屑；避免多个组件重复输出。,Dev/SEO,Open,面包屑可见、层级合理；BreadcrumbList 无严重错误且与可见路径一致。,Opportunity,UX/Ranking,对深层产品/博客页优先。
